Name,Speciality,Email
Dr. Taimoor Malik,Infectious Disease Specialist,taimoor.malik.infect@yahoo.com
Dr. Aneesa Yousaf,Neonatologist,aneesa.yousaf.neonate@hotmail.com
Dr. Kashif Raza,Neurosurgeon,kashif.raza.neurosurg@gmail.com
Dr. Madiha Iqbal,Pathologist,madiha.iqbal.patho@yahoo.com
Dr. Waseem Ahmed,Radiologist,waseem.ahmed.radio@hotmail.com
Dr. Rabia Khan,Endocrinologist,rabia.khan.endo@gmail.com
Dr. Zain Ali,Oncologist,zain.ali.onco@yahoo.com
Dr. Samina Butt,Pediatrician,samina.butt.peds@hotmail.com
Dr. Imran Yousaf,Orthopedic Surgeon,imran.yousaf.ortho@gmail.com
Dr. Aisha Tariq,Gynecologist,aisha.tariq.gyn@yahoo.com
Dr. Farooq Rehman,Cardiologist,farooq.rehman.cardio@hotmail.com
Dr. Nadia Akhtar,Dermatologist,nadia.akhtar.derm@gmail.com
Dr. Asad Malik,Gastroenterologist,asad.malik.gastro@yahoo.com
Dr. Saima Javed,Pulmonologist,saima.javed.pulmo@hotmail.com
Dr. Haris Khan,Nephrologist,haris.khan.nephro@gmail.com
Dr. Lubna Siddiqui,Psychiatrist,lubna.siddiqui.psych@yahoo.com
Dr. Shahid Iqbal,General Surgeon,shahid.iqbal.surg@hotmail.com
Dr. Ambreen Riaz,Neurologist,ambreen.riaz.neuro@gmail.com
Dr. Usama Butt,ENT Specialist,usama.butt.ent@yahoo.com
Dr. Hania Zafar,Hematologist,hania.zafar.hema@hotmail.com
Dr. Rameez Khan,Diabetologist,rameez.khan.diabetes@gmail.com
Dr. Sana Mehmood,Obstetrician,sana.mehmood.obgyn@yahoo.com
Dr. Zohaib Ali,Urologist,zohaib.ali.uro@hotmail.com
Dr. Maria Aslam,Allergist,maria.aslam.allergy@gmail.com
Dr. Adil Rehman,Cardiothoracic Surgeon,adil.rehman.cardiosurg@yahoo.com
Dr. Sadaf Khan,Anesthesiologist,sadaf.khan.anesth@hotmail.com
Dr. Fahim Malik,Infectious Disease Specialist,fahim.malik.infect@gmail.com
Dr. Ayesha Noor,Neonatologist,ayesha.noor.neonate@yahoo.com
Dr. Tauseef Ahmed,Neurosurgeon,tauseef.ahmed.neurosurg@hotmail.com
Dr. Huma Zafar,Pathologist,huma.zafar.patho@gmail.com
Dr. Kamran Ali,Radiologist,kamran.ali.radio@yahoo.com
Dr. Shazia Rehman,Endocrinologist,shazia.rehman.endo@hotmail.com
Dr. Bilal Khan,Oncologist,bilal.khan.onco@gmail.com
Dr. Naima Siddiqui,Pediatrician,naima.siddiqui.peds@yahoo.com
Dr. Arshad Malik,Orthopedic Surgeon,arshad.malik.ortho@hotmail.com
Dr. Fatima Javed,Gynecologist,fatima.javed.gyn@gmail.com
Dr. Imran Butt,Cardiologist,imran.butt.cardio@yahoo.com
Dr. Amina Malik,Dermatologist,amina.malik.derm@hotmail.com
Dr. Danish Iqbal,Gastroenterologist,danish.iqbal.gastro@gmail.com
Dr. Sobia Rehman,Pulmonologist,sobia.rehman.pulmo@yahoo.com
Dr. Zeeshan Butt,Nephrologist,zeeshan.butt.nephro@hotmail.com
Dr. Hina Malik,Psychiatrist,hina.malik.psych@gmail.com
Dr. Tariq Yousaf,General Surgeon,tariq.yousaf.surg@yahoo.com
Dr. Amna Khan,Neurologist,amna.khan.neuro@hotmail.com
Dr. Saad Ali,ENT Specialist,saad.ali.ent@gmail.com
Dr. Rabia Zafar,Hematologist,rabia.zafar.hema@yahoo.com
Dr. Farhan Siddiqui,Diabetologist,farhan.siddiqui.diabetes@hotmail.com
Dr. Maryam Iqbal,Obstetrician,maryam.iqbal.obgyn@gmail.com
Dr. Usman Riaz,Urologist,usman.riaz.uro@yahoo.com
Dr. Sania Khan,Allergist,sania.khan.allergy@hotmail.com
Dr. Omar Malik,Cardiothoracic Surgeon,omar.malik.cardiosurg@gmail.com
Dr. Kiran Rehman,Anesthesiologist,kiran.rehman.anesth@yahoo.com
Dr. Asim Khan,Infectious Disease Specialist,asim.khan.infect@hotmail.com
Dr. Mehwish Ali,Neonatologist,mehwish.ali.neonate@gmail.com
Dr. Rehan Butt,Neurosurgeon,rehan.butt.neurosurg@yahoo.com
Dr. Saima Zafar,Pathologist,saima.zafar.patho@hotmail.com
Dr. Adnan Malik,Radiologist,adnan.malik.radio@gmail.com
Dr. Huma Siddiqui,Endocrinologist,huma.siddiqui.endo@yahoo.com
Dr. Zainab Khan,Oncologist,zainab.khan.onco@hotmail.com
Dr. Bilal Raza,Pediatrician,bilal.raza.peds@gmail.com
Dr. Ayesha Malik,Orthopedic Surgeon,ayesha.malik.ortho@yahoo.com
Dr. Hassan Iqbal,Gynecologist,hassan.iqbal.gyn@hotmail.com
Dr. Imran Khan,Cardiologist,imran.khan.cardio@gmail.com
Dr. Sana Zafar,Dermatologist,sana.zafar.derm@yahoo.com
Dr. Farooq Ali,Gastroenterologist,farooq.ali.gastro@hotmail.com
Dr. Shazia Javed,Pulmonologist,shazia.javed.pulmo@gmail.com
Dr. Junaid Malik,Nephrologist,junaid.malik.nephro@yahoo.com
Dr. Nazia Khan,Psychiatrist,nazia.khan.psych@hotmail.com
Dr. Faisal Rehman,General Surgeon,faisal.rehman.surg@gmail.com
Dr. Ambreen Khan,Neurologist,ambreen.khan.neuro@yahoo.com
Dr. Usama Malik,ENT Specialist,usama.malik.ent@hotmail.com
Dr. Hania Rehman,Hematologist,hania.rehman.hema@gmail.com
Dr. Rizwan Khan,Diabetologist,rizwan.khan.diabetes@yahoo.com
Dr. Sadaf Iqbal,Obstetrician,sadaf.iqbal.obgyn@hotmail.com
Dr. Zohaib Malik,Urologist,zohaib.malik.uro@gmail.com
Dr. Maria Khan,Allergist,maria.khan.allergy@yahoo.com
Dr. Adil Khan,Cardiothoracic Surgeon,adil.khan.cardiosurg@hotmail.com
Dr. Hira Malik,Anesthesiologist,hira.malik.anesth@gmail.com
Dr. Fahim Rehman,Infectious Disease Specialist,fahim.rehman.infect@yahoo.com
Dr. Ayesha Butt,Neonatologist,ayesha.butt.neonate@hotmail.com
Dr. Tauseef Malik,Neurosurgeon,tauseef.malik.neurosurg@gmail.com
Dr. Huma Ali,Pathologist,huma.ali.patho@yahoo.com
Dr. Kamran Rehman,Radiologist,kamran.rehman.radio@hotmail.com
Dr. Shazia Malik,Endocrinologist,shazia.malik.endo@gmail.com
Dr. Bilal Iqbal,Oncologist,bilal.iqbal.onco@yahoo.com
Dr. Naima Khan,Pediatrician,naima.khan.peds@hotmail.com
Dr. Arshad Rehman,Orthopedic Surgeon,arshad.rehman.ortho@gmail.com
Dr. Fatima Siddiqui,Gynecologist,fatima.siddiqui.gyn@yahoo.com
Dr. Imran Rehman,Cardiologist,imran.rehman.cardio@hotmail.com
Dr. Amina Rehman,Dermatologist,amina.rehman.derm@gmail.com
Dr. Danish Malik,Gastroenterologist,danish.malik.gastro@yahoo.com
Dr. Sobia Malik,Pulmonologist,sobia.malik.pulmo@hotmail.com
Dr. Zeeshan Rehman,Nephrologist,zeeshan.rehman.nephro@gmail.com
Dr. Hina Khan,Psychiatrist,hina.khan.psych@yahoo.com
Dr. Tariq Rehman,General Surgeon,tariq.rehman.surg@hotmail.com
Dr. Amna Rehman,Neurologist,amna.rehman.neuro@gmail.com
Dr. Saad Rehman,ENT Specialist,saad.rehman.ent@yahoo.com
Dr. Rabia Rehman,Hematologist,rabia.rehman.hema@hotmail.com
Dr. Farhan Malik,Diabetologist,farhan.malik.diabetes@gmail.com
Dr. Maryam Rehman,Obstetrician,maryam.rehman.obgyn@yahoo.com
Dr. Usman Malik,Urologist,usman.malik.uro@hotmail.com
Dr. Sania Rehman,Allergist,sania.rehman.allergy@gmail.com
Dr. Omar Khan,Cardiothoracic Surgeon,omar.khan.cardiosurg@yahoo.com
Dr. Kiran Malik,Anesthesiologist,kiran.malik.anesth@hotmail.com
Dr. Asim Rehman,Infectious Disease Specialist,asim.rehman
Dr.Saad Ali,colorectal cancer,saad-ali@gmail.com
